fecha,dia_semana,mes,anio,es_fin_semana,es_feriado,franja_horaria,hora_inicio,hora_fin,total_pedidos_franja,total_venta_franja,producto_lider,categoria_lider,canal_predominante,promocion_activa,clima,temperatura,lluvia,porcentaje_delivery,personal_disponible,nivel_demanda
2024-01-01,Lunes,1,2024,0,1,Almuerzo,12,16,116,1698.0,Pollo Broaster,Pollos,Delivery,No,Soleado,23.0,0,35.5,6,Demanda moderada
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,149,2159.5,Pollo Broaster,Pollos,Delivery,Sí,Soleado,23.0,0,57.2,9,Alta demanda
2024-01-01,Lunes,1,2024,0,1,Desayuno,7,11,71,729.4,Pollo Broaster,Pollos,Presencial,Sí,Soleado,23.0,0,15.6,5,Baja demanda
2024-01-02,Martes,1,2024,0,0,Almuerzo,12,16,105,1107.0,Gaseosa,Bebidas,Presencial,No,Soleado,27.0,0,34.5,7,Demanda moderada
2024-01-02,Martes,1,2024,0,0,Cena,18,22,129,1502.8,Jugo Natural,Bebidas,Presencial,Sí,Soleado,27.0,0,46.8,5,Alta demanda
2024-01-02,Martes,1,2024,0,0,Desayuno,7,11,36,404.4,Cheeseburger,Hamburguesas,Presencial,Sí,Soleado,27.0,0,18.2,2,Baja demanda
2024-01-03,Miércoles,1,2024,0,0,Almuerzo,12,16,133,1396.0,Gaseosa,Bebidas,Delivery,No,Soleado,30.0,0,31.2,5,Alta demanda
2024-01-03,Miércoles,1,2024,0,0,Cena,18,22,64,1207.6,Alitas BBQ,Pollos,Web,Sí,Soleado,30.0,0,55.2,6,Baja demanda
2024-01-03,Miércoles,1,2024,0,0,Desayuno,7,11,44,488.2,Hamburguesa Clásica,Hamburguesas,Presencial,Sí,Soleado,30.0,0,17.0,2,Baja demanda
2024-01-04,Jueves,1,2024,0,0,Almuerzo,12,16,136,1633.0,Pollo Broaster,Pollos,Presencial,No,Soleado,24.0,0,34.0,5,Alta demanda
2024-01-04,Jueves,1,2024,0,0,Cena,18,22,87,1214.75,Hamburguesa Clásica,Hamburguesas,Presencial,Sí,Soleado,24.0,0,59.5,6,Demanda moderada
2024-01-04,Jueves,1,2024,0,0,Desayuno,7,11,57,491.0,Hamburguesa Clásica,Hamburguesas,Presencial,No,Soleado,24.0,0,17.0,2,Baja demanda
