fecha,dia_semana,mes,anio,es_fin_semana,es_feriado,franja_horaria,hora_inicio,hora_fin,producto,categoria,cantidad_vendida,precio_unitario,total_venta,canal_venta,promocion_activa,tipo_promocion,descuento_pct,clima,temperatura,lluvia,personal_disponible,tiempo_preparacion_min,stock_disponible,porcentaje_delivery
2024-01-01,Lunes,1,2024,0,1,Desayuno,7,11,Jugo Natural,Bebidas,14,6.0,71.4,Presencial,Sí,Combo,15,Soleado,23,0,5,3,57,16
2024-01-01,Lunes,1,2024,0,1,Desayuno,7,11,Sándwich de Pollo,Sándwiches,8,11.0,88.0,Presencial,No,Ninguna,0,Soleado,23,0,5,8,17,10
2024-01-01,Lunes,1,2024,0,1,Desayuno,7,11,Gaseosa,Bebidas,16,4.0,64.0,Presencial,No,Ninguna,0,Soleado,23,0,5,4,69,20
2024-01-01,Lunes,1,2024,0,1,Desayuno,7,11,Pollo Broaster,Pollos,22,18.0,396.0,Presencial,No,Ninguna,0,Soleado,23,0,5,18,29,11
2024-01-01,Lunes,1,2024,0,1,Desayuno,7,11,Salchipapa Clásica,Salchipapas,11,10.0,110.0,Presencial,No,Ninguna,0,Soleado,23,0,5,11,40,21
2024-01-01,Lunes,1,2024,0,1,Almuerzo,12,16,Pollo Broaster,Pollos,45,18.0,810.0,Delivery,No,Ninguna,0,Soleado,23,0,6,13,69,31
2024-01-01,Lunes,1,2024,0,1,Almuerzo,12,16,Salchipapa Especial,Salchipapas,26,15.0,390.0,Delivery,No,Ninguna,0,Soleado,23,0,6,11,52,42
2024-01-01,Lunes,1,2024,0,1,Almuerzo,12,16,Hamburguesa Clásica,Hamburguesas,24,12.0,288.0,Presencial,No,Ninguna,0,Soleado,23,0,6,10,31,26
2024-01-01,Lunes,1,2024,0,1,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,21,10.0,210.0,Web,No,Ninguna,0,Soleado,23,0,6,14,54,43
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,Salchipapa Especial,Salchipapas,18,15.0,270.0,Delivery,No,Ninguna,0,Soleado,23,0,9,14,42,44
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,Pollo Broaster,Pollos,47,18.0,634.5,Web,Sí,Combo,25,Soleado,23,0,9,20,76,60
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,Hamburguesa BBQ,Hamburguesas,19,16.0,304.0,Delivery,No,Ninguna,0,Soleado,23,0,9,8,54,60
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,Hamburguesa Clásica,Hamburguesas,27,12.0,324.0,Delivery,No,Ninguna,0,Soleado,23,0,9,8,59,63
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,Alitas BBQ,Pollos,19,20.0,380.0,Delivery,No,Ninguna,0,Soleado,23,0,9,14,41,60
2024-01-01,Lunes,1,2024,0,1,Cena,18,22,Pizza Personal,Pizzas,19,13.0,247.0,Web,No,Ninguna,0,Soleado,23,0,9,16,53,56
2024-01-02,Martes,1,2024,0,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,8,11.0,88.0,Presencial,No,Ninguna,0,Soleado,27,0,2,8,29,14
2024-01-02,Martes,1,2024,0,0,Desayuno,7,11,Cheeseburger,Hamburguesas,10,14.0,140.0,Web,No,Ninguna,0,Soleado,27,0,2,11,36,23
2024-01-02,Martes,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,9,6.0,54.0,Delivery,No,Ninguna,0,Soleado,27,0,2,2,45,24
2024-01-02,Martes,1,2024,0,0,Desayuno,7,11,Hamburguesa BBQ,Hamburguesas,9,16.0,122.4,Presencial,Sí,2x1,15,Soleado,27,0,2,12,21,12
2024-01-02,Martes,1,2024,0,0,Almuerzo,12,16,Gaseosa,Bebidas,33,4.0,132.0,Delivery,No,Ninguna,0,Soleado,27,0,7,5,70,40
2024-01-02,Martes,1,2024,0,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,24,10.0,240.0,Web,No,Ninguna,0,Soleado,27,0,7,13,54,39
2024-01-02,Martes,1,2024,0,0,Almuerzo,12,16,Alitas BBQ,Pollos,23,20.0,460.0,Presencial,No,Ninguna,0,Soleado,27,0,7,14,36,32
2024-01-02,Martes,1,2024,0,0,Almuerzo,12,16,Sándwich de Pollo,Sándwiches,25,11.0,275.0,Presencial,No,Ninguna,0,Soleado,27,0,7,6,50,27
2024-01-02,Martes,1,2024,0,0,Cena,18,22,Cheeseburger,Hamburguesas,13,14.0,182.0,Presencial,No,Ninguna,0,Soleado,27,0,5,14,43,41
